,image,label
167,"[[[ 57  39  39]
  [ 74  22  21]
  [ 86  18  15]
  ...
  [ 38  37  33]
  [ 35  35  30]
  [ 35  38  37]]

 [[ 60  37  36]
  [ 77  21  19]
  [ 87  17  14]
  ...
  [ 38  38  33]
  [ 36  35  30]
  [ 36  39  38]]

 [[ 63  36  35]
  [ 80  21  18]
  [ 89  18  14]
  ...
  [ 40  38  33]
  [ 37  35  30]
  [ 38  40  39]]

 ...

 [[ 80  23  17]
  [ 97  29  24]
  [117  79  84]
  ...
  [ 61  61  59]
  [ 61  61  60]
  [ 62  62  61]]

 [[ 77  23  17]
  [ 95  24  18]
  [111  58  58]
  ...
  [ 60  60  58]
  [ 60  60  59]
  [ 61  61  61]]

 [[ 75  24  17]
  [ 95  22  15]
  [106  40  38]
  ...
  [ 59  59  57]
  [ 59  59  57]
  [ 60  60  59]]]",0
168,"[[[ 93 111 143]
  [ 99 118 149]
  [104 123 155]
  ...
  [ 72 101 145]
  [ 69  94 138]
  [ 65  88 132]]

 [[ 99 116 148]
  [104 123 154]
  [109 128 159]
  ...
  [ 76 106 150]
  [ 73 100 143]
  [ 70  94 137]]

 [[103 120 152]
  [109 127 159]
  [114 131 162]
  ...
  [ 79 110 154]
  [ 77 104 148]
  [ 74  98 143]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]",0
169,"[[[137 159 233]
  [116 139 202]
  [ 30  34  53]
  ...
  [ 34  43  82]
  [ 30  37  72]
  [ 27  31  61]]

 [[141 161 235]
  [107 129 189]
  [ 23  23  43]
  ...
  [ 41  49  90]
  [ 39  46  89]
  [ 35  42  81]]

 [[144 167 235]
  [ 86 108 154]
  [ 24  31  52]
  ...
  [ 46  51  93]
  [ 42  50  91]
  [ 40  47  87]]

 ...

 [[  1   1   6]
  [  1   1   7]
  [  1   0   6]
  ...
  [ 19  31  43]
  [ 18  29  45]
  [  8  23  26]]

 [[  3   2  11]
  [  8   7  26]
  [  3   3  13]
  ...
  [ 41  49  60]
  [ 43  50  80]
  [ 20  31  37]]

 [[ 10   8  30]
  [ 28  28  65]
  [ 15  16  45]
  ...
  [ 24  31  36]
  [ 16  22  32]
  [ 18  27  28]]]",0
170,"[[[ 63  33  33]
  [ 77  45  43]
  [105  68  63]
  ...
  [220 251 225]
  [223 253 212]
  [194 232 194]]

 [[ 71  41  38]
  [ 81  49  43]
  [106  68  62]
  ...
  [225 249 230]
  [223 250 218]
  [208 241 204]]

 [[ 71  38  36]
  [ 83  48  44]
  [ 92  54  50]
  ...
  [217 246 227]
  [216 248 212]
  [210 242 207]]

 ...

 [[ 54  28  14]
  [ 56  29  10]
  [ 55  26  12]
  ...
  [ 73  55  48]
  [ 64  46  40]
  [ 54  37  33]]

 [[ 52  25  13]
  [ 60  34  16]
  [ 52  24  12]
  ...
  [ 68  50  44]
  [ 58  39  34]
  [ 48  29  27]]

 [[ 37  11   7]
  [ 42  15   7]
  [ 47  16   7]
  ...
  [ 68  50  46]
  [ 53  33  30]
  [ 41  22  19]]]",1
171,"[[[ 52  72  36]
  [ 53  73  38]
  [ 52  74  39]
  ...
  [ 30  40  19]
  [ 30  39  22]
  [ 70  78  63]]

 [[ 52  73  37]
  [ 53  74  38]
  [ 52  74  39]
  ...
  [ 29  37  17]
  [ 29  38  23]
  [ 68  79  69]]

 [[ 52  72  37]
  [ 51  73  38]
  [ 52  73  38]
  ...
  [ 26  34  15]
  [ 26  35  19]
  [ 38  48  36]]

 ...

 [[103 110  88]
  [ 82  97  69]
  [ 93 105  80]
  ...
  [ 22  33  19]
  [ 19  29  14]
  [ 14  21   9]]

 [[105 113  84]
  [ 94 106  77]
  [100 108  86]
  ...
  [ 20  30  17]
  [ 14  21   9]
  [ 10  16   6]]

 [[ 93 100  70]
  [102 110  87]
  [ 90 101  81]
  ...
  [ 17  25  12]
  [ 10  16   6]
  [  9  16   6]]]",0
172,"[[[110 111 111]
  [110 111 111]
  [112 112 114]
  ...
  [ 98 100 105]
  [129 133 140]
  [136 138 147]]

 [[110 112 114]
  [110 113 114]
  [111 113 112]
  ...
  [ 98  99 102]
  [124 128 133]
  [134 136 143]]

 [[111 112 114]
  [110 113 112]
  [111 113 113]
  ...
  [ 98  98 103]
  [122 124 129]
  [133 134 139]]

 ...

 [[101 101 102]
  [ 99 100  99]
  [ 99 100  97]
  ...
  [112  94  95]
  [117  95  98]
  [113  92  93]]

 [[101 100 100]
  [ 99 101 100]
  [ 99 100  97]
  ...
  [109  93  96]
  [119  97  99]
  [117  94  96]]

 [[ 99  97  98]
  [ 99  99  97]
  [100 101  98]
  ...
  [ 85  69  73]
  [115  95  96]
  [117  97  97]]]",0
173,"[[[ 68  38  22]
  [102  63  34]
  [102  76  20]
  ...
  [  9   1   2]
  [ 39  15   4]
  [ 75  53  24]]

 [[ 82  51  22]
  [ 94  51  28]
  [118  78  40]
  ...
  [ 22   2   2]
  [ 45  33   7]
  [ 76  61  11]]

 [[ 84  64  30]
  [ 99  63  32]
  [123  79  56]
  ...
  [ 27  16   7]
  [ 55  59  16]
  [ 79  78  10]]

 ...

 [[ 31  60   8]
  [ 30  58  10]
  [ 27  51   9]
  ...
  [ 81 111  19]
  [ 91 115  39]
  [ 94 118  51]]

 [[ 57  77  15]
  [ 52  67  17]
  [ 39  55  14]
  ...
  [ 86 113  28]
  [ 91 114  42]
  [ 88 112  45]]

 [[ 49  75  18]
  [ 54  65  30]
  [ 34  41  15]
  ...
  [ 83 111  32]
  [ 83 109  33]
  [ 85 110  39]]]",0
174,"[[[ 30  52  23]
  [ 88  91 102]
  [105  96 113]
  ...
  [  1   1   1]
  [  2   3   2]
  [ 10   9   3]]

 [[ 69 112  35]
  [ 46  67  60]
  [113 118 138]
  ...
  [  1   1   1]
  [  7   7   3]
  [ 11  10   4]]

 [[157 222  76]
  [108 155  56]
  [ 73 108  36]
  ...
  [  1   2   1]
  [ 11  12   5]
  [ 10  11   6]]

 ...

 [[ 17  88   4]
  [ 34  91  10]
  [ 64 116  27]
  ...
  [ 55 118  23]
  [ 53 127  11]
  [ 38 118   5]]

 [[ 13  76   4]
  [ 20  81   5]
  [ 24  68   9]
  ...
  [ 65 134  16]
  [ 30 115   5]
  [ 16 104   4]]

 [[ 14  69   7]
  [ 14  71   5]
  [ 15  60   6]
  ...
  [ 74 139  15]
  [ 63 124  18]
  [ 19 111   4]]]",0
175,"[[[ 86 111 166]
  [ 87 113 169]
  [ 76 100 166]
  ...
  [ 80  70 151]
  [ 73  76 153]
  [ 51  64 150]]

 [[ 83 108 166]
  [ 85 109 167]
  [ 89 112 168]
  ...
  [ 75  66 149]
  [ 62  80 152]
  [ 49  95 156]]

 [[ 82 106 166]
  [ 84 107 166]
  [ 91 115 169]
  ...
  [ 69  63 148]
  [ 54  78 153]
  [ 51  95 156]]

 ...

 [[ 22  30 146]
  [ 22  29 144]
  [ 22  31 144]
  ...
  [108 112 140]
  [130 117 122]
  [101 119 157]]

 [[ 24  32 147]
  [ 23  29 144]
  [ 20  28 144]
  ...
  [ 95 102 148]
  [119 112 131]
  [ 90 109 157]]

 [[ 24  31 145]
  [ 22  29 144]
  [ 21  29 144]
  ...
  [ 66  85 158]
  [ 76  97 159]
  [ 77 100 163]]]",1
176,"[[[234 234 234]
  [231 230 231]
  [232 232 233]
  ...
  [229 230 232]
  [230 230 232]
  [231 230 233]]

 [[233 233 233]
  [231 231 231]
  [232 232 232]
  ...
  [229 230 231]
  [229 229 230]
  [228 229 230]]

 [[230 230 230]
  [230 229 230]
  [229 229 229]
  ...
  [230 230 233]
  [229 229 231]
  [228 229 231]]

 ...

 [[229 229 230]
  [230 230 229]
  [224 223 225]
  ...
  [229 228 232]
  [230 229 233]
  [230 229 233]]

 [[229 229 231]
  [231 231 232]
  [230 229 230]
  ...
  [231 230 233]
  [229 228 230]
  [224 222 224]]

 [[230 229 230]
  [226 226 225]
  [228 228 229]
  ...
  [231 231 233]
  [230 229 232]
  [226 224 227]]]",0
177,"[[[135  99 108]
  [116  88  94]
  [147  76  92]
  ...
  [186 138  64]
  [216 155 140]
  [245 205 189]]

 [[182 101  98]
  [162  75  44]
  [169  61  35]
  ...
  [213 177  67]
  [229 189 118]
  [242 216 151]]

 [[212 182 167]
  [204 156 117]
  [214 118  66]
  ...
  [233 206  71]
  [247 232 131]
  [230 193 143]]

 ...

 [[141  18  33]
  [156  22  47]
  [164  52  59]
  ...
  [237 208  94]
  [235 208  89]
  [230 205  89]]

 [[183  43  76]
  [185  42  76]
  [166  54  65]
  ...
  [231 197  85]
  [229 198  81]
  [210 177  66]]

 [[205  46  89]
  [181  37  71]
  [155  46  61]
  ...
  [223 186  75]
  [218 185  69]
  [188 145  44]]]",0
178,"[[[ 29 108   2]
  [ 25  98   2]
  [ 67 136   6]
  ...
  [ 22 107   2]
  [ 42 113   5]
  [ 78 123  18]]

 [[ 33 114   2]
  [ 32 113   2]
  [ 51 126   3]
  ...
  [ 31 116   2]
  [ 38 121   2]
  [ 60 123   5]]

 [[ 46 121   2]
  [ 41 126   2]
  [ 47 129   2]
  ...
  [ 29 110   1]
  [ 41 126   2]
  [ 53 124   2]]

 ...

 [[ 37  87   2]
  [ 30  95   2]
  [  4  61   2]
  ...
  [ 72 120   2]
  [ 59 120   2]
  [ 52 123   1]]

 [[ 30  96   3]
  [  8  68   2]
  [  3  64   2]
  ...
  [ 54 108   2]
  [ 50  97   2]
  [ 53  79   2]]

 [[ 18  75   3]
  [  2  23   2]
  [  2  24   1]
  ...
  [ 60  78   2]
  [ 59  51   2]
  [ 52  38   2]]]",0
179,"[[[226 231 229]
  [223 230 226]
  [223 230 226]
  ...
  [249 252 245]
  [249 252 247]
  [246 250 244]]

 [[224 229 225]
  [226 232 228]
  [227 234 231]
  ...
  [206 217 187]
  [200 209 178]
  [193 200 168]]

 [[228 234 232]
  [229 235 233]
  [231 237 235]
  ...
  [225 228 203]
  [232 226 200]
  [230 220 189]]

 ...

 [[151 113 113]
  [205 205 197]
  [233 234 226]
  ...
  [ 86  64  44]
  [ 63  49  37]
  [ 59  47  37]]

 [[152 115 115]
  [208 209 202]
  [232 234 227]
  ...
  [ 33  26  22]
  [ 23  20  18]
  [ 20  18  18]]

 [[154 117 116]
  [209 211 203]
  [233 234 228]
  ...
  [ 21  18  18]
  [ 17  16  16]
  [ 16  15  16]]]",0
180,"[[[130  40   2]
  [113  34   3]
  [105  27   2]
  ...
  [ 97  45  11]
  [108  49   9]
  [114  55  10]]

 [[126  40   3]
  [105  31   3]
  [115  33   2]
  ...
  [ 92  42  11]
  [106  49  11]
  [114  57  13]]

 [[123  41   7]
  [106  30   3]
  [134  45   3]
  ...
  [ 83  37  11]
  [104  48  11]
  [111  54  13]]

 ...

 [[ 21   7   1]
  [ 20   7   2]
  [ 26  14  10]
  ...
  [106  62  25]
  [ 87  42  22]
  [ 81  38  21]]

 [[ 21   7   1]
  [ 23   8   3]
  [ 38  24  21]
  ...
  [110  69  30]
  [ 97  54  25]
  [ 85  42  23]]

 [[ 24   8   1]
  [ 28  12   6]
  [ 36  24  20]
  ...
  [100  63  29]
  [104  65  29]
  [ 89  47  24]]]",1
181,"[[[ 31  31  29]
  [ 35  35  33]
  [ 38  39  36]
  ...
  [166 163 156]
  [165 162 155]
  [164 161 154]]

 [[ 32  32  30]
  [ 35  36  34]
  [ 39  40  37]
  ...
  [166 163 156]
  [165 162 155]
  [164 161 154]]

 [[ 32  32  30]
  [ 36  36  34]
  [ 39  40  38]
  ...
  [167 163 157]
  [166 162 156]
  [164 161 154]]

 ...

 [[ 45  33  24]
  [ 47  34  25]
  [ 50  38  29]
  ...
  [ 59  57  62]
  [ 55  53  56]
  [ 51  49  52]]

 [[ 44  34  24]
  [ 46  36  26]
  [ 51  39  31]
  ...
  [ 53  52  57]
  [ 49  47  50]
  [ 48  45  48]]

 [[ 45  34  24]
  [ 49  37  29]
  [ 50  39  30]
  ...
  [ 54  54  57]
  [ 48  46  47]
  [ 48  45  48]]]",1
182,"[[[ 86  96  39]
  [ 80  98  30]
  [ 86 100  33]
  ...
  [ 19  40  11]
  [ 25  46  15]
  [ 22  42  11]]

 [[ 86  97  35]
  [ 83  95  32]
  [ 99 110  38]
  ...
  [ 14  24   6]
  [ 17  31   8]
  [ 16  28   7]]

 [[ 82  95  31]
  [ 86 101  36]
  [ 99 117  31]
  ...
  [ 17  20   6]
  [ 18  25   7]
  [ 21  23   8]]

 ...

 [[ 80  93  38]
  [ 84  97  40]
  [ 90 106  51]
  ...
  [ 34  54  14]
  [ 33  51  11]
  [ 42  63  14]]

 [[ 87 107  48]
  [ 85 103  45]
  [ 79  85  36]
  ...
  [ 52  70  29]
  [ 35  54  14]
  [ 46  69  16]]

 [[ 72  90  32]
  [ 81  97  43]
  [ 80 101  35]
  ...
  [ 44  63  17]
  [ 45  70  15]
  [ 52  83  14]]]",0
183,"[[[60 49 23]
  [57 36 19]
  [47 33 24]
  ...
  [43 37 26]
  [39 31 22]
  [34 34 20]]

 [[62 57 27]
  [58 42 21]
  [48 33 24]
  ...
  [43 38 29]
  [37 29 23]
  [33 29 20]]

 [[53 54 23]
  [53 53 26]
  [50 38 26]
  ...
  [38 35 26]
  [35 32 23]
  [39 45 29]]

 ...

 [[52 54 42]
  [45 50 38]
  [50 59 44]
  ...
  [22 31 20]
  [23 36 21]
  [23 39 22]]

 [[52 54 38]
  [51 54 40]
  [53 56 41]
  ...
  [24 41 25]
  [24 41 24]
  [24 41 23]]

 [[53 53 34]
  [51 55 39]
  [58 70 52]
  ...
  [24 43 24]
  [26 41 23]
  [24 38 22]]]",0
184,"[[[ 64 165  72]
  [ 62 156  80]
  [ 63 148  66]
  ...
  [ 26  65  26]
  [ 23  64  27]
  [ 23  65  28]]

 [[ 56 162  54]
  [ 56 155  69]
  [ 52 141  43]
  ...
  [ 54  98  68]
  [ 50  95  62]
  [ 31  83  40]]

 [[ 57 147  50]
  [ 51 142  58]
  [ 44 124  31]
  ...
  [ 57 106  60]
  [ 62 132  63]
  [ 68 153  65]]

 ...

 [[114 192   8]
  [124 197  19]
  [101 169  26]
  ...
  [ 25  74  16]
  [ 24  65  20]
  [ 20  83  21]]

 [[109 178  12]
  [ 78 142  21]
  [ 42 108  23]
  ...
  [ 48 124  31]
  [ 32  78  19]
  [ 15  75  17]]

 [[ 53 130  11]
  [ 22  96   8]
  [ 21  89   8]
  ...
  [ 54 139  33]
  [ 48 124  17]
  [ 16  71  11]]]",0
185,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[ 36  18  16]
  [ 39  21  19]
  [ 87  70  68]
  ...
  [ 77  61  59]
  [ 46  28  26]
  [ 35  18  16]]

 [[ 37  19  18]
  [ 38  20  19]
  [ 66  48  47]
  ...
  [ 71  55  54]
  [ 43  25  24]
  [ 37  19  18]]

 [[ 35  17  16]
  [ 37  19  18]
  [ 38  20  19]
  ...
  [ 36  16  16]
  [ 35  17  16]
  [ 37  19  18]]]",1
186,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [238 238 238]
  [168 168 168]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [228 228 228]
  [ 88  88  88]
  ...
  [162 162 162]
  [193 193 193]
  [255 255 255]]

 ...

 [[248 254 247]
  [247 253 249]
  [ 92  98  99]
  ...
  [163 181 183]
  [247 253 246]
  [249 255 250]]

 [[251 253 248]
  [246 252 251]
  [106 116 122]
  ...
  [164 180 183]
  [247 253 247]
  [247 254 249]]

 [[249 255 251]
  [247 252 250]
  [140 151 155]
  ...
  [176 185 188]
  [247 252 249]
  [248 254 252]]]",1
187,"[[[39 29  6]
  [55 36  7]
  [81 68 53]
  ...
  [24 38  5]
  [21 36  7]
  [19 28  8]]

 [[27 43  6]
  [26 46  3]
  [67 67 44]
  ...
  [22 32  6]
  [23 34  7]
  [23 30  8]]

 [[31 45  5]
  [24 44  5]
  [32 36 10]
  ...
  [29 34  7]
  [28 30  7]
  [23 20  5]]

 ...

 [[10 20  2]
  [15 22  2]
  [26 26  2]
  ...
  [33 23  8]
  [50 34 12]
  [61 41 16]]

 [[12 15  2]
  [19 25  2]
  [26 29  3]
  ...
  [52 34 15]
  [59 39 16]
  [59 44 11]]

 [[19 28  5]
  [14 16  3]
  [12 12  3]
  ...
  [62 39 15]
  [59 43 10]
  [51 59 10]]]",0
188,"[[[200 200 204]
  [199 199 204]
  [190 192 199]
  ...
  [191 217 225]
  [193 210 217]
  [175 185 184]]

 [[136 137 150]
  [146 150 162]
  [181 184 192]
  ...
  [192 207 215]
  [178 199 210]
  [176 185 185]]

 [[179 184 192]
  [126 134 156]
  [116 122 138]
  ...
  [187 201 209]
  [192 212 223]
  [178 197 201]]

 ...

 [[112 137 163]
  [124 161 198]
  [139 173 201]
  ...
  [145 192 215]
  [154 209 233]
  [161 231 248]]

 [[124 168 199]
  [127 190 221]
  [144 197 220]
  ...
  [156 198 216]
  [165 208 228]
  [174 216 233]]

 [[147 207 237]
  [149 198 215]
  [147 176 191]
  ...
  [158 199 213]
  [174 220 235]
  [186 230 243]]]",0
189,"[[[ 43 109 152]
  [ 43 109 152]
  [ 43 110 153]
  ...
  [188 144  75]
  [241 198 125]
  [245 212 139]]

 [[ 44 110 153]
  [ 44 110 154]
  [ 44 110 154]
  ...
  [215 173  88]
  [229 187 112]
  [236 200 125]]

 [[ 44 110 154]
  [ 44 111 154]
  [ 44 111 154]
  ...
  [214 171  82]
  [215 174 101]
  [249 216 139]]

 ...

 [[ 62 129 175]
  [ 63 130 175]
  [ 64 130 176]
  ...
  [174 138  89]
  [230 188 120]
  [209 165  99]]

 [[ 62 129 175]
  [ 63 130 174]
  [ 63 130 176]
  ...
  [151 109  63]
  [199 161  99]
  [213 176 113]]

 [[ 62 129 174]
  [ 62 129 174]
  [ 63 129 175]
  ...
  [190 140  71]
  [178 137  77]
  [150 118  76]]]",0
190,"[[[163  99  10]
  [157  95  12]
  [162 100  17]
  ...
  [111  57   2]
  [109  58   3]
  [108  56   3]]

 [[156  93  11]
  [167 102  15]
  [167 104  18]
  ...
  [113  58   3]
  [115  61   3]
  [106  56   3]]

 [[164 100  13]
  [171 107  17]
  [174 110  20]
  ...
  [116  59   3]
  [114  60   3]
  [108  56   3]]

 ...

 [[190 145  71]
  [192 148  76]
  [191 146  72]
  ...
  [199 151  62]
  [198 153  71]
  [199 155  75]]

 [[189 140  64]
  [187 135  61]
  [174 117  48]
  ...
  [200 155  72]
  [198 157  76]
  [194 149  70]]

 [[186 137  64]
  [182 128  54]
  [167 109  40]
  ...
  [204 162  79]
  [198 157  77]
  [190 146  68]]]",1
191,"[[[ 26  53  30]
  [ 29  58  32]
  [ 32  61  34]
  ...
  [140 228 112]
  [141 219 113]
  [112 190  94]]

 [[ 34  63  40]
  [ 37  65  42]
  [ 38  67  41]
  ...
  [130 223 111]
  [127 215 108]
  [127 206 105]]

 [[ 41  70  45]
  [ 42  72  49]
  [ 43  73  49]
  ...
  [137 224 120]
  [126 214 110]
  [130 208 106]]

 ...

 [[ 76 130  28]
  [ 70 128  28]
  [ 72 126  30]
  ...
  [  4   9   5]
  [  3   8   4]
  [  2   6   5]]

 [[ 51 102   6]
  [ 50 104  12]
  [ 66 122  31]
  ...
  [ 11  19  11]
  [ 10  18  10]
  [  4   9   6]]

 [[ 63 121  21]
  [ 67 125  29]
  [ 68 127  32]
  ...
  [ 71 100  70]
  [ 65  94  66]
  [ 50  73  51]]]",0
192,"[[[144 128  69]
  [171 158 101]
  [140 129  81]
  ...
  [173 149  95]
  [208 173 113]
  [199 166 104]]

 [[136 129  82]
  [157 142  89]
  [153 140  90]
  ...
  [171 149  94]
  [180 153  95]
  [181 161 107]]

 [[131 120  72]
  [169 156 101]
  [121 114  69]
  ...
  [167 139  78]
  [165 138  80]
  [141 116  58]]

 ...

 [[203 128  82]
  [196 113  69]
  [203 132  76]
  ...
  [214 142  92]
  [203 122  76]
  [201 118  73]]

 [[207 131  83]
  [200 124  73]
  [196 133  72]
  ...
  [196 134  81]
  [203 127  78]
  [203 126  67]]

 [[199 120  72]
  [207 137  83]
  [211 170  87]
  ...
  [226 189  65]
  [230 192  60]
  [236 203  53]]]",0
193,"[[[ 88 100 115]
  [ 94 104 119]
  [ 98 110 125]
  ...
  [ 97 106 121]
  [ 92 101 113]
  [ 85  95 107]]

 [[ 94 105 120]
  [ 98 109 124]
  [102 114 128]
  ...
  [103 112 125]
  [ 98 106 119]
  [ 92 101 113]]

 [[100 108 124]
  [102 114 127]
  [107 118 132]
  ...
  [107 117 127]
  [103 111 123]
  [ 98 105 118]]

 ...

 [[ 44  50  58]
  [ 48  53  61]
  [ 51  56  62]
  ...
  [ 28  32  33]
  [ 27  32  32]
  [ 29  32  33]]

 [[ 39  45  52]
  [ 41  47  53]
  [ 43  49  57]
  ...
  [ 45  48  49]
  [ 42  43  42]
  [ 38  38  38]]

 [[ 31  36  42]
  [ 31  37  42]
  [ 33  40  45]
  ...
  [ 46  51  57]
  [ 36  42  46]
  [ 25  29  31]]]",0
194,"[[[196 200 202]
  [179 176 156]
  [200 197 187]
  ...
  [222 224 226]
  [193 178 160]
  [167 150 119]]

 [[206 211 213]
  [187 186 181]
  [211 210 207]
  ...
  [206 209 206]
  [216 215 211]
  [181 169 156]]

 [[219 223 224]
  [201 202 203]
  [203 204 203]
  ...
  [167 161 143]
  [175 165 141]
  [185 178 166]]

 ...

 [[ 92  83  75]
  [111 102  89]
  [109  88  59]
  ...
  [ 13  10   4]
  [ 14  12   5]
  [ 13  13   7]]

 [[195 191 187]
  [184 178 169]
  [164 156 143]
  ...
  [ 15  13   6]
  [ 16  14   7]
  [ 17  16  10]]

 [[166 147 128]
  [163 149 131]
  [166 157 148]
  ...
  [ 19  17  12]
  [ 18  17  11]
  [ 19  20  14]]]",0
195,,1.0
196,"[[[240 230 210]
  [240 226 204]
  [246 234 217]
  ...
  [243 246 238]
  [247 249 244]
  [236 239 233]]

 [[230 216 203]
  [246 237 228]
  [253 250 247]
  ...
  [249 250 245]
  [245 247 240]
  [246 248 243]]

 [[252 249 242]
  [252 250 243]
  [252 249 240]
  ...
  [249 250 244]
  [252 252 248]
  [251 251 248]]

 ...

 [[ 70  64  53]
  [ 81  75  65]
  [ 96  90  80]
  ...
  [210 180 155]
  [212 182 157]
  [211 181 157]]

 [[ 85  77  68]
  [ 98  91  87]
  [110 104 101]
  ...
  [203 172 148]
  [206 175 152]
  [206 174 152]]

 [[ 92  85  78]
  [ 79  72  64]
  [ 80  73  63]
  ...
  [198 166 143]
  [200 168 145]
  [201 169 146]]]",1
197,"[[[141 140 126]
  [133 135 129]
  [139 140 146]
  ...
  [115 115 102]
  [102 101  88]
  [ 89  90  75]]

 [[138 139 136]
  [149 151 154]
  [200 200 198]
  ...
  [100  99  84]
  [ 90  89  73]
  [ 82  80  65]]

 [[163 164 162]
  [190 191 183]
  [204 203 186]
  ...
  [ 89  86  68]
  [ 82  77  62]
  [ 76  72  58]]

 ...

 [[176 155 128]
  [143 118  89]
  [164 134 104]
  ...
  [ 44  41  32]
  [  8  10   4]
  [  5   7   2]]

 [[180 159 136]
  [142 120  95]
  [133 105  80]
  ...
  [ 56  51  40]
  [ 11  13   6]
  [  6   8   3]]

 [[140 119 102]
  [131 109  85]
  [115  93  75]
  ...
  [ 65  57  48]
  [ 12  14   8]
  [  5   8   3]]]",1
198,"[[[217 218 223]
  [220 221 226]
  [223 224 229]
  ...
  [222 225 226]
  [218 221 222]
  [214 218 219]]

 [[219 221 226]
  [222 224 228]
  [224 227 231]
  ...
  [222 227 226]
  [218 224 224]
  [216 221 222]]

 [[220 222 227]
  [222 226 229]
  [225 229 232]
  ...
  [221 228 226]
  [219 225 225]
  [217 222 221]]

 ...

 [[ 31  30  15]
  [ 45  38  21]
  [ 31  29  15]
  ...
  [104  97  65]
  [ 90  83  58]
  [ 99  90  64]]

 [[ 28  24  11]
  [ 43  36  17]
  [ 28  28  12]
  ...
  [120 105  74]
  [106  92  66]
  [105  92  65]]

 [[ 47  36  18]
  [ 38  32  15]
  [ 24  26  10]
  ...
  [117  97  65]
  [107  89  61]
  [108  90  62]]]",0
199,"[[[190 190 202]
  [191 191 203]
  [193 191 204]
  ...
  [193 194 198]
  [190 191 195]
  [184 186 190]]

 [[192 191 203]
  [194 193 205]
  [195 193 205]
  ...
  [193 195 199]
  [190 192 197]
  [187 189 193]]

 [[195 193 205]
  [196 194 207]
  [197 195 207]
  ...
  [197 198 202]
  [193 194 198]
  [189 190 195]]

 ...

 [[159 155 142]
  [162 158 144]
  [174 173 162]
  ...
  [228 230 232]
  [225 228 229]
  [221 225 226]]

 [[157 154 141]
  [161 157 142]
  [169 164 160]
  ...
  [225 229 231]
  [221 225 226]
  [219 223 224]]

 [[156 153 139]
  [159 155 139]
  [157 154 138]
  ...
  [225 229 230]
  [219 223 224]
  [218 222 222]]]",0
200,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[111 111 111]
  [123 123 123]
  [139 139 139]
  ...
  [ 57  57  57]
  [ 75  75  75]
  [ 85  85  85]]

 [[ 97  97  97]
  [114 114 114]
  [144 144 144]
  ...
  [ 72  72  72]
  [ 77  77  77]
  [ 84  84  84]]

 [[ 97  97  97]
  [115 115 115]
  [142 142 142]
  ...
  [ 89  89  89]
  [ 84  84  84]
  [ 71  71  71]]]",1
201,"[[[253 254 254]
  [255 255 255]
  [255 255 255]
  ...
  [160 161 150]
  [173 175 166]
  [201 203 198]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [151 153 141]
  [166 168 158]
  [183 185 178]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [145 147 134]
  [158 161 150]
  [170 172 163]]

 ...

 [[120 155  92]
  [ 91 124  71]
  [ 27  44  23]
  ...
  [ 15  18  19]
  [ 16  16  18]
  [ 16  16  18]]

 [[ 83 116  47]
  [ 70  87  36]
  [ 29  43  24]
  ...
  [ 16  18  18]
  [ 16  16  18]
  [ 16  16  18]]

 [[105 144  76]
  [ 89 115  57]
  [ 44  62  31]
  ...
  [ 16  19  19]
  [ 16  17  19]
  [ 15  16  18]]]",0
